mp_id,material,spectral_spread,freq_gap_max_THz,freq_gap_max_ratio,frac_sv2_below_median,spectral_entropy,n_modes,phonopy_version
4155,Ca2Nb2O7,0.62278,5.3273,0.1982,0.5603,0.8789,66,3.4.0
4180,Ca2SiO4,0.677129,8.6803,0.2814,0.5891,0.8386,84,3.4.0
4481,Ca2SiO4,0.618633,7.2906,0.2464,0.609,0.8407,84,3.4.0
4747,Ca2SnO4,0.433164,1.4358,0.0773,0.6437,0.9656,42,3.4.0
3575,Ca3(BO3)2,0.76344,9.1144,0.2339,0.7121,0.7227,66,3.4.0
17817,Ca3(GeP2)2,0.419015,0.7752,0.0676,0.8253,0.8695,108,3.4.0
3487,Ca3(PO4)2,0.762644,9.8647,0.2771,0.6981,0.7427,39,3.4.0
4192,Ca3AsN,0.565855,1.3421,0.092,0.3131,0.9463,60,3.4.0
1047,Ca3N2,0.406847,1.7774,0.1194,0.5991,0.9709,30,3.4.0
844,Ca3N2,0.391153,0.9538,0.0632,0.5662,0.9565,120,3.4.0
3932,Ca3Si2O7,0.684292,5.1291,0.1669,0.6643,0.8341,144,3.4.0
4163,Ca3Ti2O7,0.502557,2.4448,0.1012,0.3897,0.9608,72,3.4.0
8568,Ca4PtO6,0.515509,2.8494,0.15,0.6691,0.9143,66,3.4.0
3080,Ca5(Ga3O7)2,0.588534,0.9948,0.0435,0.4973,0.9356,150,3.4.0
14600,CaAl2O4,0.583599,1.5638,0.0578,0.7047,0.8724,168,3.4.0
2963,CaAl2O4,0.588943,1.5577,0.0589,0.7028,0.8772,252,3.4.0
966582,CaAlH5,0.620242,3.7888,0.0717,0.6732,0.871,168,3.4.0
722262,CaB3H3O7,0.892063,38.0339,0.3597,0.6802,0.6422,168,3.4.0
1575,CaC2,1.262013,45.7046,0.8104,0.8,0.4354,18,3.4.0
2482,CaC2,1.284541,45.8436,0.8179,0.852,0.2257,9,3.4.0
917,CaC2,1.264782,45.5834,0.8057,0.7893,0.4348,18,3.4.0
4124,CaCN2,1.046762,23.5326,0.3533,0.6644,0.4367,12,3.4.0
3953,CaCO3,0.863304,10.5178,0.2277,0.6751,0.6293,30,3.4.0
4626,CaCO3,0.876946,10.6321,0.2249,0.6039,0.6494,60,3.4.0
2741,CaF2,0.337902,2.3028,0.165,0.6512,0.8758,9,3.4.0
3707,CaGe2O5,0.565466,3.4462,0.1355,0.6366,0.9149,48,3.4.0
4279,CaGe2O5,0.475077,1.0652,0.046,0.5713,0.9724,96,3.4.0
642725,CaHClO,1.643352,87.1543,0.8052,0.7201,0.3548,24,3.4.0
676,CaN6,1.11904,23.3216,0.3366,0.7557,0.4441,42,3.4.0
2605,CaO,0.345306,3.8737,0.2349,0.5922,0.9262,6,3.4.0
11007,CaPSe3,0.734131,4.4538,0.3123,0.7109,0.7478,60,3.4.0
8161,CaPdF4,0.526162,2.9983,0.1747,0.58,0.9232,36,3.4.0
3082,CaSO4,0.768199,9.5502,0.2696,0.7787,0.7076,54,3.4.0
4406,CaSO4,0.759751,9.3185,0.2615,0.818,0.6839,36,3.4.0
1672,CaS,0.296661,1.7402,0.1685,0.7041,0.8898,6,3.4.0
4056,CaSc2O4,0.407831,2.0376,0.0983,0.7078,0.9355,84,3.4.0
1415,CaSe,0.34055,1.6815,0.2139,0.6915,0.9007,6,3.4.0
4782,CaSnF6,0.690158,4.9993,0.2686,0.395,0.8366,24,3.4.0
4190,CaSnO3,0.483124,1.734,0.0926,0.7345,0.9187,30,3.4.0
4438,CaSnO3,0.529712,2.4304,0.1159,0.4741,0.9319,60,3.4.0
3079,CaTa4O11,0.620042,2.464,0.0898,0.2699,0.9257,96,3.4.0
1519,CaTe,0.415076,1.8242,0.2738,0.6824,0.8557,6,3.4.0
3442,CaTiO3,0.568256,7.1318,0.2863,0.7244,0.7477,30,3.4.0
4019,CaTiO3,0.513675,6.6488,0.2777,0.5995,0.8587,60,3.4.0
3960,CaUO4,0.514077,3.152,0.1395,0.4308,0.9523,18,3.4.0
3443,Cd(GaO2)2,0.527878,2.6748,0.1287,0.5963,0.9094,42,3.4.0
