mp_id,material,spacegroup,sg_symbol,crystal_system,nsites,volume,density
3123,PPdSe,60,Pbcn,Orthorhombic,24,462.9433,6208.35
3125,K3Zn2F7,139,I4/mmm,Tetragonal,24,352.1904,3593.16
3136,NaNbO3,221,Pm-3m,Cubic,5,62.9691,4322.01
3142,Ca(NO3)2,205,Pa-3,Cubic,36,423.2174,2575.27
3143,Na2SO4,63,Cmcm,Orthorhombic,28,349.1495,2702.19
3144,HoNbO4,15,C2/c,Monoclinic,24,289.3299,7388.37
3151,Li3TaO4,15,C2/c,Monoclinic,64,591.4904,5968.91
3154,Sm3Sb5O12,217,I-43m,Cubic,80,1280.1127,6495.63
3159,Al2CdSe4,82,I-4,Tetragonal,14,353.4114,4531.47
3164,BaSO4,62,Pnma,Orthorhombic,24,345.2745,4489.79
3167,Hg2GeSe4,82,I-4,Tetragonal,14,365.0786,7183.45
3175,BaTi4O9,59,Pmmn,Orthorhombic,28,347.0272,4524.64
3188,Zn(SbO3)2,136,P4_2/mnm,Tetragonal,18,205.8229,6533.26
3193,Na2Si2O5,14,P2_1/c,Monoclinic,36,474.0207,2552.32
3196,NdGaO3,62,Pnma,Orthorhombic,20,230.5049,7548.65
3200,Lu2Ti2O7,227,Fd-3m,Cubic,88,977.1092,7581.73
3203,NdTaO4,13,P2/c,Monoclinic,12,156.5392,8256.86
3211,Nd2SO2,164,P-3m1,Trigonal,5,90.5608,6464.38
3216,Li2ZrN2,164,P-3m1,Trigonal,5,49.8319,4435.92
3228,HgSO4,31,Pmn2_1,Orthorhombic,12,153.8429,6403.98
3236,Pr2SO2,164,P-3m1,Trigonal,5,93.0378,6173.26
3247,Cs2TiS3,63,Cmcm,Orthorhombic,24,720.9704,3776.08
3248,TbAsO4,141,I4_1/amd,Tetragonal,24,314.498,6290.44
3249,La4Ti3O12,148,R-3,Trigonal,57,688.3302,6449.95
3252,SrTe3O8,84,P4_2/m,Tetragonal,24,317.5797,6257.91
3257,KAuSe5,72,Ibam,Orthorhombic,56,1598.0434,5244.29
3261,Dy(BO2)3,62,Pnma,Orthorhombic,160,1426.8615,5417.2
3267,TlSb5S8,7,Pc,Monoclinic,56,1372.1562,5178.08
3269,NaTh2F9,121,I-42m,Tetragonal,48,656.9603,6653.19
3273,Si5P6O25,148,R-3,Trigonal,108,1309.8092,2762.18
3277,BAsO4,82,I-4,Tetragonal,12,138.6045,3587.66
3281,Al5BO9,36,Cmc2_1,Orthorhombic,60,661.1708,2910.48
3285,Na2Ta4O11,167,R-3c,Trigonal,102,1226.1097,7685.18
3288,CsNO2,152,P3_121,Trigonal,12,234.9774,3792.99
3297,Li10Zn4O9,137,P4_2/nmc,Tetragonal,46,433.2172,3640.81
3311,SrUO4,57,Pbcm,Orthorhombic,24,352.8262,7335.32
3317,SmRhO3,62,Pnma,Orthorhombic,20,232.4463,8608.62
3318,Na2BeF4,62,Pnma,Orthorhombic,28,351.2344,2477.05
3319,Mg(RhO2)2,227,Fd-3m,Cubic,56,620.4021,6297.69
3324,Nb2SnO6,15,C2/c,Monoclinic,36,472.4519,5630.86
3332,NaCrSe2,166,R-3m,Trigonal,12,224.551,5166.97
3334,Tm2Sn2O7,227,Fd-3m,Cubic,88,1091.1108,8367.71
3335,Sm2Ti2O7,227,Fd-3m,Cubic,88,1058.2164,6382.82
3336,LaGaO3,167,R-3c,Trigonal,30,351.0094,7284.23
3338,NaGaO2,33,Pna2_1,Orthorhombic,16,211.4438,3917.61
3342,ZnPS3,12,C2/m,Monoclinic,20,396.0447,3229.28
3347,Be2SiO4,148,R-3,Trigonal,126,1117.4607,2945.14
3349,Sr3Ti2O7,139,I4/mmm,Tetragonal,24,307.0987,5089.13
3359,Ba2SnO4,139,I4/mmm,Tetragonal,14,230.0006,6604.05
3361,Ba3Al2F12,58,Pnnm,Orthorhombic,68,952.0002,4841.55
3368,LiNb3O8,14,P2_1/c,Monoclinic,48,556.135,4940.46
3370,Y2Sn2O7,227,Fd-3m,Cubic,88,1118.6775,6260.84
3372,Rb2SO4,62,Pnma,Orthorhombic,28,489.7438,3621.17
3374,Nd4Au2O9,60,Pbcn,Orthorhombic,60,864.8247,8562.79
3376,Sr2SnO4,139,I4/mmm,Tetragonal,14,207.2969,5734.64
3378,SrHfO3,62,Pnma,Orthorhombic,20,268.36,7774.47
3379,K2SbF5,63,Cmcm,Orthorhombic,32,555.3296,3527.81
3384,Er3Al5O12,230,Ia-3d,Cubic,160,1695.9682,6490.93
3395,SrSeO3,11,P2_1/m,Monoclinic,10,151.1313,4715.31
3397,Ba2TiO4,14,P2_1/c,Monoclinic,28,492.7512,5210.17
3404,RbSO3,150,P321,Trigonal,30,585.8647,2815.03
3405,NaAl11O17,194,P6_3/mmc,Hexagonal,58,617.451,3182.98
3414,AgSbF6,206,Ia-3,Cubic,64,914.9342,4989.15
3416,Na3AlF6,14,P2_1/c,Monoclinic,20,235.4088,2961.79
3417,Ca(BO2)2,60,Pbcn,Orthorhombic,28,305.6352,2731.7
3419,RbAuF4,140,I4/mcm,Tetragonal,24,463.9975,5130.92
3427,LiAlO2,92,P4_12_12,Tetragonal,16,167.1249,2619.96
3439,SbPO4,11,P2_1/m,Monoclinic,12,161.913,4445.49
3442,CaTiO3,140,I4/mcm,Tetragonal,20,221.8429,4070.25
3443,Cd(GaO2)2,227,Fd-3m,Cubic,56,644.157,6513.81
3444,ErTaO4,13,P2/c,Monoclinic,12,142.2059,9626.63
3446,SrTm2O4,62,Pnma,Orthorhombic,28,386.3579,8415.11
3448,KMgF3,221,Pm-3m,Cubic,5,64.1893,3114.64
3457,ErP5O14,62,Pnma,Orthorhombic,80,985.7782,3679.75
