mp_id,material,gamma_mean,gamma_transport,gamma_norm_mean,gamma_norm_transport,kappa_rta,log_gamma_transport,inv_gamma_transport,n_modes,compute_time_s
23259,LiBr,0.326271,1.038460,0.009818,0.017241,3.62,0.0377,0.9630,6,2.7
1378,LiC,0.059288,0.049017,0.000696,0.001089,13.35,-3.0156,20.4013,12,23.4
753946,LiCoS2,0.052863,0.026621,0.000930,0.001227,14.79,-3.6260,37.5639,12,16.9
15791,LiErS2,0.085515,0.085446,0.002755,0.003175,3.33,-2.4599,11.7033,12,11.5
35591,LiErS2,0.108498,0.102021,0.003695,0.003965,2.44,-2.2826,9.8019,24,38.0
35205,LiErSe2,0.109661,0.121817,0.004986,0.005213,2.63,-2.1052,8.2090,24,38.3
1138,LiF,0.204330,0.293934,0.001476,0.001874,20.30,-1.2244,3.4021,6,2.7
5488,LiInO2,0.259546,0.222982,0.004008,0.003963,3.74,-1.5007,4.4847,24,37.8
3924,LiNbO2,0.058485,0.043374,0.000571,0.000760,25.10,-3.1379,23.0550,24,25.9
37605,LiNdSe2,0.259468,0.340981,0.021502,0.019423,0.68,-1.0759,2.9327,24,38.1
9143,LiPF6,0.202730,0.507120,0.002631,0.006916,2.53,-0.6790,1.9719,24,29.8
3980,LiSbF6,0.231626,0.325507,0.004234,0.006736,1.45,-1.1224,3.0721,24,30.1
1249,MgF2,0.063266,0.055765,0.000650,0.000719,18.10,-2.8866,17.9325,18,13.3
1265,MgO,0.040984,0.038675,0.000274,0.000348,64.96,-3.2526,25.8562,6,2.7
1315,MgS,0.038929,0.043929,0.000839,0.001121,19.89,-3.1252,22.7642,6,2.7
1039,MgTe,0.024246,0.013600,0.001325,0.001701,8.07,-4.2977,73.5293,12,14.8
1434,MoS2,0.007863,0.004492,0.000136,0.000213,68.40,-5.4054,222.6073,9,18.9
2352,Na2O,0.167848,0.134960,0.003884,0.004198,6.95,-2.0028,7.4096,9,6.2
4823,Na2PdC2,0.092338,0.125456,0.004005,0.002936,4623299471321281334796298068173483147264.00,-2.0758,7.9709,15,20.9
648,Na2S,0.055605,0.041751,0.002395,0.002607,6.78,-3.1760,23.9515,9,6.2
1266,Na2Se,0.035859,0.027616,0.002317,0.003102,3.63,-3.5894,36.2108,9,6.2
2784,Na2Te,0.032284,0.027649,0.002972,0.003717,2.52,-3.5882,36.1674,9,6.2
4541,NaCuO2,0.074805,0.059550,0.001456,0.001529,11.64,-2.8209,16.7925,12,26.7
3613,NaErS2,0.046988,0.035426,0.001772,0.002392,4.14,-3.3403,28.2282,12,11.6
682,NaF,0.041402,0.043866,0.000924,0.001304,29.70,-3.1266,22.7968,6,2.7
23268,NaI,0.098384,0.111261,0.009083,0.010705,2.76,-2.1959,8.9879,6,2.7
3744,NaNbO2,0.049241,0.030481,0.000477,0.000511,31.28,-3.4906,32.8073,24,25.9
8128,NaNdO2,0.107884,0.150338,0.001978,0.001988,5.67,-1.8949,6.6517,24,37.8
676360,NaNdS2,0.059135,0.046809,0.002335,0.002694,3.51,-3.0617,21.3636,24,37.6
2400,NaS,0.103237,0.079524,0.005361,0.007466,1.50,-2.5317,12.5749,24,30.5
3056,NaTlO2,0.175840,0.191452,0.003420,0.003577,4.32,-1.6531,5.2233,12,11.6
4824,NaZnP,0.080428,0.064227,0.003105,0.003318,2.76,-2.7453,15.5697,18,16.0
865280,NbAlFe2,0.009647,0.007255,0.000168,0.000278,41.26,-4.9261,137.8439,12,12.5
5621,NbCu3S4,0.041894,0.027906,0.001466,0.001920,5.21,-3.5789,35.8344,24,6.3
4043,NbCu3Se4,0.023172,0.009562,0.001002,0.001441,5.00,-4.6499,104.5777,24,6.3
953,NbZn3,0.026463,0.027636,0.001205,0.001842,6.31,-3.5886,36.1846,12,8.4
2763,Nd2O3,0.105348,0.104080,0.002303,0.002520,4.31,-2.2626,9.6080,15,10.2
3211,Nd2SO2,0.050046,0.035307,0.000709,0.000831,12.74,-3.3437,28.3234,15,10.0
23183,NdCl3,0.053583,0.033842,0.002553,0.003515,1.97,-3.3861,29.5492,24,33.4
3664,NdTlS2,0.050173,0.052437,0.005192,0.004465,1.76,-2.9481,19.0704,12,11.5
486,NiP2,0.017459,0.014245,0.000381,0.000488,26.17,-4.2513,70.1977,18,54.9
2319,P2Os,0.023322,0.018404,0.000276,0.000299,37.88,-3.9952,54.3367,18,40.0
1413,P2Ru,0.017025,0.010693,0.000200,0.000252,42.49,-4.5382,93.5191,18,40.2
315,PbF2,0.295875,0.298524,0.013941,0.013484,1.04,-1.2089,3.3498,9,6.2
341,PbF4,0.116291,0.098698,0.007242,0.008451,1.57,-2.3157,10.1319,15,7.4
9497,Pr2C(NO)2,0.037177,0.029794,0.000630,0.000823,11208028774493058242702453204776311062528.00,-3.5135,33.5643,21,26.3
2063,Pr2O3,0.105033,0.102177,0.002386,0.002620,4.12,-2.2811,9.7870,15,10.2
3236,Pr2SO2,0.049679,0.035153,0.000728,0.000846,12.42,-3.3481,28.4474,15,10.1
4764,Pr2SeO2,0.055237,0.039773,0.000797,0.000873,13.64,-3.2246,25.1428,15,9.9
975666,PrBrO,0.050278,0.074298,0.001501,0.001434,4.56,-2.5997,13.4592,18,15.7
769173,PrOF,0.081120,0.063789,0.001365,0.001549,5.63,-2.7522,15.6768,18,9.3
1285,PtO2,0.018484,0.009631,0.000116,0.000141,128.19,-4.6427,103.8282,18,23.2
1394,Rb2O,0.176443,0.222896,0.011580,0.011605,2.09,-1.5011,4.4864,9,6.2
7929,Rb2PtS2,0.040028,0.039698,0.003713,0.004810,2.20,-3.2265,25.1905,15,20.0
23949,RbCaH3,0.565095,0.901421,0.005789,0.009003,2.22,-0.1038,1.1094,15,14.5
7477,RbErO2,0.083101,0.101016,0.001359,0.001476,7.42,-2.2925,9.8994,12,11.5
697144,RbH2N,0.397631,0.737629,0.012433,0.011245,1.02,-0.3043,1.3557,24,88.6
5808,RbNdTe2,0.021781,0.016809,0.003758,0.005571,1.76,-4.0859,59.4931,12,11.6
7650,RbScO2,0.133673,0.143032,0.001888,0.002049,8.68,-1.9447,6.9914,24,26.1
8145,RbScO2,0.138993,0.150013,0.002049,0.002197,6.52,-1.8970,6.6661,12,11.7
190,ReO3,0.172903,0.170574,0.001122,0.001248,12.87,-1.7686,5.8626,12,8.4
2068,RhF3,0.079973,0.098573,0.001025,0.001178,22.36,-2.3170,10.1447,24,20.9
11022,ScAgO2,0.065741,0.061682,0.000695,0.000851,23.39,-2.7858,16.2123,24,26.0
973185,ScAgO2,0.064873,0.064963,0.000707,0.000877,19.44,-2.7339,15.3933,12,11.6
3642,ScCuO2,0.080241,0.088202,0.001025,0.001229,20.51,-2.4281,11.3377,24,25.5
4636,ScCuO2,0.083819,0.088741,0.001262,0.001428,12.42,-2.4220,11.2688,12,11.7
8062,SiC,0.014707,0.007451,0.000040,0.000042,480.80,-4.8995,134.2175,6,2.6
978534,SiGe,0.005390,0.004786,0.000134,0.000189,113.70,-5.3421,208.9429,12,14.7
149,Si,0.022564,0.019188,0.000226,0.000267,72.11,-3.9534,52.1148,6,2.6
165,Si,0.023684,0.020080,0.000255,0.000304,64.68,-3.9081,49.8019,12,14.1
5598,Sm2SO2,0.052493,0.037348,0.000685,0.000815,13.67,-3.2875,26.7752,15,10.0
754217,SmIO,0.050616,0.072853,0.001986,0.001266,5.20,-2.6193,13.7263,18,15.8
2706,SnF4,0.076082,0.066279,0.002405,0.002638,4.14,-2.7139,15.0877,15,7.4
