mp_id,material,sv2,sv2_per_mode,n_modes,n_masked_weighted,phonopy_version
849527,Rb3InO3,3364.4509,40.053,84,0.0,3.4.0
3719,Rb3NbS4,1756.1309,18.293,96,0.013889,3.4.0
558170,Rb3PO4,3522.9054,36.6969,96,0.0,3.4.0
17220,Rb3TaS4,1657.9494,17.2703,96,0.013889,3.4.0
769294,Rb8SnO6,3480.9708,38.6775,90,0.0,3.4.0
3419,RbAuF4,1162.1017,32.2806,36,0.002315,3.4.0
3032,RbBF4,4016.8017,55.7889,72,0.268519,3.4.0
3654,RbCaF3,8305.741,553.7161,15,0.324074,3.4.0
23949,RbCaH3,16023.0588,1068.2039,15,0.0,3.4.0
569764,RbCu2I3,1629.1821,22.6275,72,0.00463,3.4.0
10985,RbCu3S2,1974.9051,54.8585,36,0.0,3.4.0
7477,RbErO2,2812.1419,234.3452,12,0.0,3.4.0
1888,RbGe,1353.7329,7.0507,192,0.009259,3.4.0
697144,RbH2N,4786.8592,199.4525,24,0.0,3.4.0
6300,RbHgSbSe3,1520.2986,21.1153,72,0.00463,3.4.0
743,RbN3,1713.1426,71.3809,24,0.0,3.4.0
555018,RbNa2AuO2,3682.1737,102.2826,36,0.0,3.4.0
10834,RbNd2CuS4,3477.1178,72.44,48,0.0,3.4.0
5808,RbNdTe2,855.398,71.2832,12,0.002315,3.4.0
4135,RbPO3,12182.7355,203.0456,60,0.0,3.4.0
4035,RbReO4,956.7035,26.5751,36,0.002315,3.4.0
3404,RbSO3,3632.8556,40.3651,90,1.141204,3.4.0
4721,RbSb3Se5,2039.0647,18.8802,108,0.333333,3.4.0
7650,RbScO2,9867.8664,411.1611,24,0.0,3.4.0
8145,RbScO2,4930.4979,410.8748,12,0.0,3.4.0
1074,RbSi,1627.7041,8.4776,192,0.0,3.4.0
3033,RbTaO3,9528.5916,158.8099,60,1.30787,3.4.0
652046,Re3S4Br,2479.5536,25.8287,96,0.0,3.4.0
190,ReO3,35809.4162,2984.118,12,1.078704,3.4.0
1716,Rh2O3,10430.2801,173.838,60,0.0,3.4.0
542734,Rh2O3,6180.2588,206.0086,30,0.0,3.4.0
2068,RhF3,9044.9955,376.8748,24,0.0,3.4.0
2030,RuS2,8749.0338,243.0287,36,0.0,3.4.0
1247,Sb2Ir,2667.7081,74.103,36,0.0,3.4.0
1999,Sb2O3,7463.7185,124.3953,60,0.673611,3.4.0
2136,Sb2O3,12455.6842,207.5947,60,0.0,3.4.0
1705,Sb2O5,7690.8296,183.115,42,0.0,3.4.0
2809,Sb2S3,5739.8273,95.6638,60,0.064815,3.4.0
2160,Sb2Se3,2883.8814,48.0647,60,0.050926,3.4.0
759707,Sb4O5F2,8345.8513,63.2261,132,0.180556,3.4.0
768372,SbBrO,4421.8318,40.9429,108,0.44213,3.4.0
1880,SbF3,3684.0878,153.5037,24,0.002315,3.4.0
8630,SbIrS,2322.4197,64.5117,36,0.0,3.4.0
1819,SbO2,7046.9667,195.7491,36,0.0,3.4.0
230,SbO2,9415.0328,130.7643,72,0.0,3.4.0
3439,SbPO4,8832.4897,245.3469,36,0.0,3.4.0
3930,Sc2MnS4,4638.612,110.4431,42,0.0,3.4.0
216,Sc2O3,23795.3228,198.2944,120,0.0,3.4.0
401,Sc2S3,7744.7797,129.0797,60,0.0,3.4.0
11022,ScAgO2,14506.4173,604.4341,24,0.0,3.4.0
973185,ScAgO2,7144.0897,595.3408,12,0.0,3.4.0
4471,ScAlO3,15673.8054,261.2301,60,0.0,3.4.0
3642,ScCuO2,12809.1207,533.7134,24,0.0,3.4.0
4636,ScCuO2,6446.1637,537.1803,12,0.0,3.4.0
4661,ScOF,13221.179,367.255,36,0.0,3.4.0
4662,ScOF,13221.8433,367.2734,36,0.0,3.4.0
4200,ScPO4,13176.6592,366.0183,36,0.0,3.4.0
726,SeO2,19314.02,268.2503,72,0.689815,3.4.0
147,Se,1340.1586,74.4533,18,0.0,3.4.0
28712,Si2Hg6O7,3365.5882,74.7908,45,0.002315,3.4.0
4497,Si2N2O,19261.2469,642.0416,30,0.0,3.4.0
17123,Si2Os,10838.2336,150.531,72,0.0,3.4.0
569815,Si2Ru,13367.0473,185.6534,72,0.0,3.4.0
2245,Si3N4,25717.5708,306.1616,84,0.0,3.4.0
