mp_id,material,n_atoms_primitive,n_atoms_unitcell,avg_mass_AMU,fc_mean,fc_max,on_site_norm,trace_ratio,aniso,interaction_range,phonopy_version
3589,BPO4,6,12,17.6304,2.391517,110.121481,66.172373,0.648078,0.418237,1.0,3.4.0
1479,BP,2,8,20.8924,1.613274,38.904967,36.525769,1.0,1.0,1.0,3.4.0
160,B,12,36,10.811,0.74221,45.505146,39.195172,0.798816,0.663059,0.940559,3.4.0
4255,Ba(CuS)2,5,10,65.7098,0.350229,11.408865,8.12694,0.92777,0.820548,0.937079,3.4.0
4473,Ba(CuSe)2,20,20,84.4678,0.253715,12.776732,8.931836,0.796783,0.586719,0.905882,3.4.0
17928,Ba(ErTe2)2,28,28,140.3207,0.31275,10.286486,8.695546,0.827209,0.665931,1.0,3.4.0
4396,Ba(NO3)2,36,36,29.0374,4.133808,108.383404,60.933953,0.58246,0.230482,1.0,3.4.0
2983,Ba(PN2)2,84,84,36.4716,2.155515,76.766927,52.197249,0.681881,0.454253,1.0,3.4.0
4727,Ba(SbSe2)2,56,56,99.5267,0.3285,12.187299,9.116579,0.757874,0.507736,1.0,3.4.0
17501,Ba(ScTe2)2,28,28,105.377,0.30439,9.351377,8.578321,0.850548,0.704902,1.0,3.4.0
756725,Ba2CaI6,18,18,119.5732,0.135714,8.27358,4.994583,0.727781,0.492181,0.967366,3.4.0
16904,Ba2CdTe3,24,24,128.3108,0.191818,7.969776,6.960339,0.770425,0.567224,0.998834,3.4.0
21879,Ba2CePtO6,10,40,70.585,1.879501,71.951897,26.570474,0.674584,0.511876,1.0,3.4.0
555284,Ba2NdAlO5,18,18,58.4305,0.68333,45.35753,22.277745,0.632761,0.379049,1.0,3.4.0
3359,Ba2SnO4,7,14,65.3374,0.703942,41.95503,19.76094,0.645353,0.467351,1.0,3.4.0
14552,Ba2SrUO6,20,20,69.6299,1.138223,70.231574,20.968851,0.65099,0.427283,1.0,3.4.0
3397,Ba2TiO4,28,28,55.2169,0.898254,63.398127,25.846048,0.621926,0.381736,1.0,3.4.0
558629,Ba2ZnSi2O7,24,48,42.3501,1.308001,75.716633,37.439619,0.626009,0.377925,1.0,3.4.0
3813,Ba2ZrS4,7,14,70.5911,0.467786,18.921206,12.038986,0.545726,0.282369,1.0,3.4.0
3857,Ba3(PO4)2,13,39,46.3018,2.959663,100.157474,42.514467,0.58967,0.372134,1.0,3.4.0
2911,Ba3(SnP2)2,36,36,85.9218,0.274985,16.459402,10.653454,0.789609,0.595459,0.998446,3.4.0
3361,Ba3Al2F12,68,68,40.8191,0.529961,42.917394,17.665876,0.667734,0.454773,1.0,3.4.0
524,Ba3As14,34,34,85.9343,0.270112,14.796226,12.190963,0.786781,0.504166,0.881481,3.4.0
16978,Ba3MgSb2O9,30,30,54.92,0.896785,66.429752,26.497285,0.685681,0.473622,1.0,3.4.0
1195,Ba3P14,34,34,49.742,0.353023,20.531779,16.425292,0.786332,0.49977,0.841394,3.4.0
755363,Ba3SiO,20,20,91.2132,0.321754,6.850963,6.288562,0.800775,0.612152,0.989873,3.4.0
9668,Ba3TiS5,18,36,68.9081,0.353222,35.426217,14.047375,0.667762,0.435058,1.0,3.4.0
6795,Ba5Ho8Zn4O21,38,76,68.5154,1.06745,28.356666,18.073231,0.741883,0.536451,1.0,3.4.0
3563,Ba5Nb4O15,24,24,54.0938,1.314917,60.341892,26.21886,0.663603,0.469423,1.0,3.4.0
3828,BaAl2O4,14,14,36.4697,1.136714,50.144034,36.437188,0.672299,0.454846,1.0,3.4.0
4202,BaAl2O4,56,56,36.4697,1.122326,50.590067,35.675417,0.660416,0.413169,1.0,3.4.0
4376,BaAlF5,28,28,37.0429,0.674327,41.698038,19.237262,0.622774,0.392709,1.0,3.4.0
28049,BaBrCl,12,12,84.228,0.175964,7.132973,5.393228,0.853426,0.723347,1.0,3.4.0
